payment_id,user_id,payment_date,amount,currency
P000190,U00283,14/01/2024,30.41,USD
P000191,U00283,2024-01-19,29.51,USD
P000192,U00283,2023-12-06,27.57,USD
P000193,U00283,02-16-2024,29.12,USD
P000194,U00285,03-18-2023,80.07,USD
P000195,U00289,2024-06-25,28.28,EUR
P000196,U00297,02-21-2023,77.57,EUR
P000197,U00297,06-16-2023,79.83,EUR
P000198,U00297,17/07/2023,77.57,EUR
P000199,U00297,05-12-2023,77.42,EUR
P000200,U00297,12/03/2023,76.85,EUR
P000201,U00297,05/05/2023,82.0,EUR
P000202,U00300,04-28-2024,30.08,USD
P000203,U00300,05-10-2024,-28.71,USD
P000204,U00301,15/02/2024,-28.18,GBP
P000205,U00301,04-15-2024,28.12,GBP
P000206,U00303,12-04-2023,78.47,NGN
P000207,U00303,09-10-2023,77.84,NGN
P000208,U00303,30/11/2023,79.85,NGN
P000209,U00303,02-02-2024,76.76,NGN
P000210,U00303,09-29-2023,77.72,NGN
P000211,U00304,29/05/2023,81.43,USD
P000212,U00304,25/06/2023,79.0,USD
P000213,U00306,27/07/2023,82.24,EUR
P000214,U00306,09-19-2023,77.27,EUR
P000215,U00307,2023-05-22,30.37,EUR
P000216,U00308,2024-04-28,75.2,USD
P000217,U00308,01-16-2024,77.59,USD
P000218,U00308,30/08/2023,75.58,USD
P000219,U00308,2024-02-19,76.18,USD
P000220,U00308,13/08/2023,80.05,USD
P000221,U00308,23/12/2023,76.2,USD
P000222,U00308,2024-01-08,82.03,USD
P000223,U00308,05-11-2024,79.77,USD
P000224,U00308,26/04/2024,76.59,USD
P000225,U00308,2023-10-30,80.59,USD
P000225,U00308,2023-10-30,80.59,USD
P000226,U00310,05-08-2024,78.72,USD
P000227,U00311,09-01-2023,75.9,INR
P000228,U00313,2023-04-19,75.46,USD
P000229,U00313,02/07/2023,81.62,USD
P000230,U00313,2023-11-08,77.61,USD
P000231,U00313,11-06-2023,77.28,USD
P000232,U00313,2023-03-23,80.76,USD
P000233,U00313,2023-04-25,76.25,USD
P000234,U00322,10/08/2023,81.48,GBP
P000235,U00324,2024-06-26,81.71,USD
P000236,U00325,2023-05-08,0.0,USD
P000237,U00325,06-14-2023,0.0,USD
P000238,U00327,05-22-2024,-79.65,USD
P000239,U00328,02-24-2024,-27.99,USD
P000240,U00328,2024-03-08,28.32,USD
P000241,U00334,03/06/2024,79.82,USD
P000242,U00334,05-10-2024,76.51,USD
P000243,U00336,28/06/2024,76.74,EUR
P000244,U00340,12/02/2024,-27.62,USD
P000245,U00342,12-24-2023,79.8,USD
P000246,U00344,2023-05-15,0.0,GBP
P000247,U00346,12-15-2023,30.34,NGN
P000248,U00347,2023-08-14,78.35,USD
P000249,U00347,2023-08-16,76.17,USD
P000250,U00348,04-07-2023,27.59,USD
P000251,U00354,28/02/2023,27.64,EUR
P000251,U00354,28/02/2023,27.64,EUR
P000252,U00355,11-25-2023,30.33,EUR
P000253,U00359,01-31-2024,-78.59,USD
P000254,U00359,2024-02-29,81.82,USD
P000255,U00361,01-09-2024,78.65,GBP
P000256,U00365,2024-05-12,28.63,USD
P000257,U00365,2024-06-17,29.51,USD
P000258,U00365,15/03/2024,30.12,USD
P000259,U00365,2024-05-31,29.74,USD
P000260,U00366,09-20-2023,28.54,USD
P000261,U00366,23/06/2023,30.38,USD
P000262,U00366,06-11-2023,29.94,USD
P000263,U00366,06-04-2023,29.06,USD
P000264,U00366,03/10/2023,30.28,USD
P000265,U00366,08-29-2023,27.89,USD
P000266,U00367,2024-06-01,28.57,USD
P000267,U00367,2024-03-24,29.41,USD
P000268,U00367,2024-06-28,27.55,USD
P000269,U00367,2024-05-16,27.97,USD
P000270,U00369,2023-11-09,27.83,USD
P000271,U00371,12-26-2023,78.63,USD
P000272,U00375,01-29-2023,82.31,GBP
P000272,U00375,01-29-2023,82.31,GBP
P000273,U00378,17/08/2023,81.35,USD
P000274,U00378,07-14-2023,79.69,USD
P000275,U00378,2023-06-06,82.91,USD
P000276,U00378,06-03-2023,77.04,USD
P000277,U00378,2023-07-03,82.34,USD
P000278,U00378,06-28-2023,82.82,USD
P000279,U00384,06-10-2023,0.0,USD
P000280,U00386,04/03/2023,28.4,USD
P000281,U00387,05-09-2023,-0.0,USD
P000282,U00394,04-01-2024,75.97,EUR
P000283,U00394,17/11/2023,75.24,EUR
P000284,U00394,04-20-2023,80.65,EUR
P000285,U00394,05-24-2023,78.36,EUR
P000286,U00394,09-23-2023,75.58,EUR
P000287,U00394,2023-08-29,78.8,EUR
P000288,U00394,2023-05-29,75.24,EUR
P000289,U00394,03/10/2023,80.26,EUR
P000290,U00394,05-08-2024,79.0,EUR
P000291,U00400,03-31-2024,75.52,USD
P000292,U00402,07/05/2024,30.05,USD
P000293,U00403,2024-02-26,28.67,USD
P000294,U00403,2024-02-21,29.48,USD
P000295,U00404,18/05/2024,0.0,GBP
P000296,U00406,21/01/2024,29.81,USD
P000297,U00408,05-12-2024,29.33,USD
P000298,U00408,2024-01-08,28.25,USD
P000299,U00408,04-24-2024,29.29,USD
P000300,U00408,03/01/2024,29.79,USD
P000301,U00408,05-06-2024,29.44,USD
P000302,U00408,14/03/2024,30.22,USD
P000303,U00409,01-19-2024,79.48,GBP
P000304,U00409,02/10/2023,78.76,GBP
P000305,U00409,18/12/2023,79.13,GBP
P000306,U00409,28/10/2023,81.96,GBP
P000307,U00409,2024-02-29,76.94,GBP
P000308,U00409,02-13-2024,77.7,GBP
P000309,U00410,01-01-2024,28.1,INR
P000310,U00417,10-19-2023,78.01,USD
P000311,U00420,13/05/2024,-30.4,USD
P000312,U00421,24/06/2023,0.0,USD
P000313,U00421,16/07/2023,0.0,USD
P000314,U00421,2023-05-16,0.0,USD
P000315,U00421,24/03/2023,0.0,USD
P000316,U00421,2023-04-10,0.0,USD
P000317,U00421,10-05-2023,0.0,USD
P000318,U00423,16/02/2023,0.0,USD
P000319,U00424,30/04/2023,79.42,USD
P000320,U00424,06-04-2023,-79.33,USD
P000321,U00425,05/11/2023,27.83,USD
P000322,U00426,02-20-2024,27.56,USD
P000323,U00426,15/04/2024,28.84,USD
P000324,U00427,27/05/2024,30.02,USD
P000325,U00427,04-22-2024,30.11,USD
P000326,U00429,06-21-2024,78.0,USD
P000327,U00434,2023-10-20,28.22,USD
P000328,U00434,09/09/2023,30.26,USD
P000329,U00434,14/09/2023,29.87,USD
P000330,U00434,2023-05-02,28.97,USD
P000331,U00434,22/07/2023,28.29,USD
P000332,U00434,07-30-2023,28.01,USD
P000333,U00435,2024-02-13,75.43,USD
P000334,U00436,2023-04-21,79.2,USD
P000335,U00438,07-16-2023,28.03,USD
P000336,U00438,05-27-2023,29.21,USD
P000337,U00439,2024-06-14,0.0,USD
P000338,U00445,2024-04-20,82.41$,USD
P000339,U00445,2024-06-04,77.2,USD
P000340,U00446,23/03/2024,28.0,USD
P000341,U00454,23/05/2024,77.32,USD
P000342,U00455,06/11/2023,29.07,USD
P000343,U00455,17/10/2023,29.31,USD
P000344,U00455,2023-08-27,30.27,USD
P000345,U00455,21/10/2023,27.66,USD
P000346,U00455,09/06/2023,29.3,USD
P000347,U00455,22/05/2023,28.46,USD
P000348,U00457,2024-02-10,27.96,INR
P000349,U00457,21/09/2023,30.16,INR
P000350,U00457,2023-12-17,29.62,INR
P000351,U00457,12-07-2023,30.33,INR
P000352,U00457,15/03/2024,27.84,INR
P000353,U00458,13/04/2023,28.58,GBP
P000354,U00458,2023-05-10,29.0,GBP
P000355,U00460,06-30-2023,29.71,USD
P000356,U00463,05-22-2023,79.96,USD
P000357,U00463,08-23-2023,76.02,USD
P000358,U00463,01-22-2023,80.31,USD
P000359,U00463,03/02/2023,82.94,USD
P000360,U00463,2023-09-21,80.69,USD
P000361,U00463,04/03/2023,81.07,USD
P000362,U00463,2023-06-10,76.79,USD
P000363,U00463,2023-03-24,78.36,USD
P000364,U00463,2023-06-22,79.37,USD
P000365,U00463,2023-02-02,76.34,USD
P000366,U00470,03-05-2024,79.61,USD
P000367,U00472,02/04/2024,28.21,GBP
P000368,U00472,2024-05-23,28.42,GBP
P000369,U00472,2024-06-08,28.42,GBP
P000370,U00474,06-20-2024,82.2,USD
P000371,U00476,04-30-2024,28.42,GBP
P000372,U00476,04/04/2024,29.8,GBP
P000373,U00477,17/05/2023,82.78,USD
P000374,U00477,01/04/2023,78.89,USD
P000375,U00491,2023-12-21,-30.43,EUR
P000376,U00492,2024-05-26,29.58,EUR
P000377,U00492,2024-06-20,28.45,EUR
P000378,U00492,2023-07-25,29.33,EUR
P000379,U00492,06-22-2024,28.68,EUR
P000380,U00492,31/10/2023,29.33,EUR
P000381,U00492,09-01-2023,27.74,EUR
P000382,U00492,05-06-2024,29.58,EUR
P000383,U00492,10-28-2023,27.64,EUR
P000384,U00492,09/01/2024,29.9,EUR
P000385,U00492,2024-03-19,29.6,EUR
P000386,U00492,2024-05-13,30.41,EUR
P000387,U00494,11/04/2024,79.69,USD
P000388,U00498,03-24-2023,78.49,NGN
P000389,U00499,2024-04-16,0.0,USD
P000390,U00499,09/06/2024,0.0,USD
P000391,U00502,06-10-2024,77.61,NGN
P000392,U00502,03-17-2024,80.25,NGN
P000393,U00502,30/01/2024,75.11,NGN
P000394,U00502,2024-01-13,78.9,NGN
P000395,U00504,07-28-2023,0.0,NGN
P000396,U00508,01-11-2024,0.0,USD
P000397,U00509,08-13-2023,82.37,GBP
P000398,U00509,31/08/2023,75.36,GBP
P000399,U00509,2023-08-06,82.92,GBP
P000400,U00512,11-25-2023,30.11,USD
P000401,U00512,2023-09-19,28.85,USD
P000402,U00517,20/11/2023,28.7,USD
P000403,U00517,03-14-2024,29.91,USD
P000404,U00517,05-30-2024,29.85,USD
P000405,U00517,05-03-2024,27.7,USD
P000406,U00518,2023-11-03,79.48,USD
P000407,U00518,2023-11-22,79.0,USD
P000408,U00521,2024-03-04,76.39,USD
P000409,U00522,02-21-2024,29.77,USD
P000410,U00523,21/02/2023,0.0,USD
P000411,U00525,01/05/2023,29.97,USD
P000412,U00528,2024-03-29,29.89,USD
P000413,U00528,2024-05-19,30.2,USD
P000414,U00530,10/09/2023,76.58,EUR
P000415,U00530,2023-06-04,77.74,EUR
P000416,U00530,2023-11-02,79.1,EUR
P000417,U00530,2023-09-27,80.09,EUR
P000418,U00530,21/10/2023,76.84,EUR
P000419,U00532,27/02/2024,75.38$,USD
P000420,U00532,21/03/2023,82.85,USD
P000421,U00532,2023-12-31,81.67,USD
P000422,U00532,2023-05-06,81.71,USD
P000423,U00532,10-31-2023,76.12,USD
P000424,U00532,01-04-2024,77.74,USD
P000425,U00536,03/07/2023,29.57,USD
P000426,U00537,2023-08-09,27.77,USD
P000427,U00537,25/08/2023,29.0,USD
P000428,U00542,2024-02-17,27.83,USD
P000429,U00544,09-30-2023,28.35,USD
P000430,U00544,10-11-2023,29.9,USD
P000431,U00546,23/12/2023,82.12,USD
P000432,U00546,2023-12-22,80.25,USD
P000433,U00546,22/12/2023,82.55,USD
P000434,U00546,12/12/2023,78.76,USD
P000435,U00546,2024-01-03,79.72,USD
P000436,U00546,2024-02-06,76.38,USD
P000436,U00546,2024-02-06,76.38,USD
P000437,U00550,07-29-2023,0.0,USD
P000438,U00554,05-21-2023,29.94,USD
P000439,U00554,2023-08-14,30.19,USD
P000440,U00554,2023-12-07,28.77,USD
P000441,U00554,08-12-2023,29.26,USD
P000442,U00554,2023-05-18,29.91,USD
P000443,U00554,2023-04-28,29.61,USD
P000444,U00554,16/12/2023,27.76,USD
P000445,U00554,04-20-2023,29.22,USD
P000446,U00554,2023-03-13,28.75,USD
P000447,U00554,14/12/2023,29.43,USD
P000448,U00554,2023-08-02,29.46,USD
P000449,U00558,17/06/2024,0.0,USD
P000450,U00560,09/06/2024,79.19,INR
P000451,U00561,2024-02-22,29.78,USD
P000452,U00561,2024-03-24,28.87,USD
P000453,U00561,13/04/2024,30.06,USD
P000454,U00562,01-21-2024,28.23,USD
P000455,U00562,29/11/2023,29.41,USD
P000456,U00564,2023-08-26,27.61,INR
P000457,U00566,24/05/2023,0.0,GBP
P000458,U00566,05-20-2023,0.0,GBP
P000459,U00566,2023-06-12,0.0$,GBP
P000460,U00572,19/06/2024,30.34,EUR
P000461,U00572,14/05/2024,29.36,EUR
P000462,U00581,02-14-2024,28.75,USD
P000463,U00585,07/03/2024,28.29,USD
P000464,U00587,11-21-2023,28.24,USD
P000465,U00589,06-09-2024,28.35,USD
P000465,U00589,06-09-2024,28.35,USD
P000466,U00591,06-19-2024,77.66,USD
P000467,U00593,2024-06-24,28.86,USD
P000468,U00594,2024-05-06,76.57,EUR
P000469,U00598,01-03-2024,78.6,USD
P000470,U00598,21/02/2024,80.77,USD
P000471,U00598,2024-02-06,80.48,USD
P000472,U00598,2023-11-27,78.04,USD
P000473,U00599,18/04/2024,76.29,USD
P000474,U00601,06-23-2024,30.11,NGN
P000475,U00601,06-29-2024,30.4,NGN
P000476,U00601,2024-06-19,29.47,NGN
P000477,U00606,2024-04-02,77.38,USD
P000478,U00607,2023-08-11,82.17,EUR
P000479,U00607,01-26-2024,78.84,EUR
P000480,U00612,2024-03-29,29.13,USD
P000481,U00614,2024-01-04,81.59,GBP
P000482,U00614,01-05-2024,81.39,GBP
P000483,U00614,01-06-2024,79.99,GBP
P000484,U00616,04-23-2024,-75.31,USD
P000485,U00616,27/06/2024,75.24,USD
P000486,U00618,06-15-2024,28.1,USD
P000487,U00621,2023-11-29,27.98,USD
P000488,U00621,14/12/2023,30.2,USD
P000489,U00621,08-12-2023,27.8,USD
P000490,U00621,2023-10-25,28.93,USD
P000491,U00621,2023-08-11,28.06,USD
P000492,U00623,2023-10-23,-29.29,USD
P000493,U00623,11-24-2023,28.55,USD
P000494,U00625,09/01/2024,76.23,USD
P000495,U00635,04-05-2023,78.68,GBP
P000496,U00635,2023-04-26,80.08,GBP
P000497,U00635,2023-02-22,75.56,GBP
P000498,U00636,05-22-2024,29.16$,USD
P000499,U00636,22/04/2024,28.3,USD
P000500,U00636,03-07-2024,30.1,USD
P000501,U00636,2024-04-28,28.09,USD
P000502,U00636,01-01-2024,29.5,USD
P000503,U00637,2023-09-19,80.32,EUR
P000504,U00637,04-06-2023,82.0,EUR
P000505,U00637,10/10/2023,81.73,EUR
P000506,U00637,02-02-2023,78.7,EUR
P000507,U00637,02/06/2023,76.29,EUR
P000508,U00637,12-04-2023,81.95,EUR
P000509,U00637,2023-09-21,77.97,EUR
P000510,U00637,04/12/2023,82.25,EUR
P000511,U00637,05-01-2023,78.3,EUR
P000512,U00637,2023-11-14,79.24,EUR
P000513,U00641,03-25-2023,78.73,USD
P000514,U00643,04/03/2023,82.29,USD
P000515,U00644,2024-01-26,28.69,USD
P000516,U00644,01-13-2024,27.82,USD
P000517,U00644,01-27-2024,29.13,USD
P000518,U00644,14/01/2024,29.38,USD
P000519,U00644,2024-04-13,30.45,USD
P000520,U00645,23/11/2023,0.0,INR
P000521,U00648,15/07/2023,82.93,USD
P000522,U00649,03-07-2024,28.26,USD
P000523,U00649,2024-06-09,28.32,USD
P000524,U00649,24/05/2024,30.21,USD
P000525,U00650,06-22-2024,75.65,USD
P000526,U00651,2024-04-03,28.2,USD
P000527,U00652,10-23-2023,29.91,USD
P000528,U00652,01/03/2024,27.98,USD
P000529,U00652,01-27-2024,27.77,USD
P000530,U00652,05-27-2024,28.4,USD
P000531,U00652,03/09/2023,29.96,USD
P000532,U00652,11-18-2023,28.98,USD
P000533,U00652,05/09/2023,29.06,USD
P000534,U00655,06-04-2023,30.12,USD
P000535,U00656,2024-03-31,80.46,USD
P000536,U00660,2023-05-26,78.45,USD
P000537,U00660,04-24-2023,80.0,USD
P000538,U00661,08-05-2023,0.0,USD
P000539,U00664,2023-02-15,76.72,USD
P000540,U00664,22/03/2023,79.0,USD
P000541,U00666,02/12/2023,77.96,USD
P000542,U00666,06/09/2023,79.59,USD
P000543,U00666,08-26-2023,79.65,USD
P000544,U00666,12-27-2023,79.98,USD
P000545,U00666,03-27-2024,78.02,USD
P000546,U00666,01-23-2024,79.83,USD
P000547,U00666,09/03/2024,82.8,USD
P000548,U00666,07-14-2023,79.28,USD
P000549,U00666,08-23-2023,76.21,USD
P000550,U00666,2024-04-27,77.5,USD
P000551,U00669,11-24-2023,76.17,USD
P000552,U00669,01-24-2024,75.48,USD
P000553,U00669,27/07/2023,76.27,USD
P000554,U00669,06/01/2024,75.29,USD
P000555,U00670,07-31-2023,77.62,USD
P000556,U00672,2023-05-03,30.15,USD
P000557,U00675,29/03/2024,81.76,GBP
P000558,U00680,14/09/2023,30.23,USD
P000559,U00685,05-19-2024,28.28,INR
P000560,U00687,2023-03-25,29.37,USD
P000561,U00688,09/04/2024,29.04,EUR
P000562,U00688,2024-04-19,29.0,EUR
P000563,U00692,2023-03-16,29.94,GBP
P000564,U00697,2023-09-13,28.73,USD
P000565,U00702,16/03/2023,82.13,USD
P000566,U00704,2024-03-22,81.08,NGN
P000567,U00704,28/02/2024,75.2,NGN
P000568,U00704,2024-06-16,81.58,NGN
P000569,U00705,03/04/2024,0.0,INR
P000570,U00705,2024-04-18,0.0,INR
P000571,U00707,16/03/2023,0.0,USD
P000572,U00708,2024-06-06,82.92,USD
P000572,U00708,2024-06-06,82.92,USD
P000573,U00709,29/03/2024,28.77,USD
P000574,U00711,05-08-2023,28.1,USD
P000575,U00711,2023-05-25,28.44,USD
P000576,U00713,07/04/2023,75.39,USD
P000577,U00713,2023-02-22,76.92,USD
P000578,U00714,2024-04-25,0.0,NGN
P000579,U00714,11-26-2023,0.0,NGN
P000580,U00714,03-07-2024,0.0,NGN
P000581,U00714,13/02/2024,0.0,NGN
P000582,U00716,04-01-2024,29.94,USD
P000583,U00716,25/01/2024,29.13,USD
P000584,U00717,2023-06-26,0.0,USD
P000585,U00719,10/05/2023,0.0,USD
P000586,U00724,09-26-2023,28.01,USD
P000587,U00724,2023-07-29,27.59,USD
P000588,U00724,09-29-2023,28.32,USD
P000589,U00729,06-06-2024,82.59,INR
P000590,U00729,02-01-2024,76.91,INR
P000591,U00729,26/10/2023,82.58,INR
P000592,U00729,11-02-2023,82.57,INR
P000593,U00729,04-05-2024,82.75,INR
P000594,U00729,02-10-2024,80.17,INR
P000595,U00729,12/06/2024,79.1,INR
P000596,U00729,2024-03-02,78.62,INR
P000597,U00731,2023-12-29,30.15,USD
P000598,U00731,01-28-2024,29.78,USD
P000599,U00733,2023-06-28,78.96,NGN
P000600,U00741,2023-02-13,0.0,EUR
P000601,U00744,07-18-2023,81.91,EUR
P000602,U00747,19/10/2023,82.16,USD
P000603,U00752,02-21-2023,80.06,USD
P000604,U00755,07/04/2023,0.0,USD
P000605,U00756,05-06-2023,30.2,USD
P000606,U00756,2023-05-05,28.72,USD
P000607,U00756,2023-06-07,29.09,USD
P000608,U00756,16/09/2023,30.43,USD
P000609,U00756,12/06/2023,28.61,USD
P000610,U00756,16/06/2023,30.3,USD
P000611,U00758,05-26-2023,28.11,USD
P000612,U00758,2023-08-20,29.04,USD
P000613,U00762,2023-04-23,77.18,GBP
P000614,U00762,24/05/2023,77.48,GBP
