user_id,signup_date,country,acquisition_channel,device_type
U00069,05-22-2024,Germany,organic,desktop
U00070,2024-05-30,US,organic,mobile
U00071,01/05/2023,usa,ads,desktop
U00072,2023/09/24,NG,ads,desktop
U00073,02-09-2023,US,referral,desktop
U00074,02-04-2023,BR,organic,desktop
U00075,2024-03-04,IN,ads,desktop
U00076,2023-03-28,US,social,mobile
U00077,04-26-2023,Canada,organic,mobile
U00078,11/10/2023,,organic,mobile
U00079,06-13-2024,usa,social,mobile
U00080,2023/05/01,usa,organic,mobile
U00081,2023/01/20,US,social,mobile
U00082,06-04-2024,Kenya,social,mobile
U00083,2023/05/04,Australia,social,mobile
U00084,31/01/2023,Kenya,ads,mobile
U00085,26/06/2023,US,organic,desktop
U00086,11-06-2023,UK,ads,mobile
U00087,2023-11-07,India,referral,mobile
U00088,03-31-2023,South Africa,ads,mobile
U00089,01-30-2023,US,referral,desktop
U00090,2023-09-01,Canada,referral,desktop
U00091,10-27-2023,,referral,mobile
U00092,02/01/2023,Germany,referral,desktop
U00093,10-10-2023,Canada,organic,desktop
U00094,04-29-2024,UK,referral,mobile
U00095,01-29-2024,UK,social,desktop
U00096,09/11/2023,IN,ads,desktop
U00097,30/05/2023,Canada,social,mobile
U00098,2024-04-23,DE,ads,desktop
U00099,08-25-2023,Usa,organic,desktop
U00100,28/12/2023,Canada,ads,desktop
U00101,2024-02-02,CA,social,mobile
U00102,08-09-2023,Germany,referral,desktop
U00103,03-14-2023,France,email,mobile
U00104,2023/04/25,US,organic,mobile
U00105,2024/04/19,Kenya,email,mobile
U00106,2024/03/23,IN,ads,desktop
U00107,2023-07-09,India,organic,tablet
U00108,2023/11/27,US,organic,desktop
U00109,2023/02/09,DE,ads,mobile
U00110,04-14-2023,Australia,ads,desktop
U00111,2024/03/01,Canada,organic,tablet
U00112,2023/07/12,FR,referral,mobile
U00113,2024-05-01,usa,ads,desktop
U00114,08-10-2023,usa,ads,mobile
U00115,24/02/2024,US,organic,mobile
U00116,06-16-2023,US,ads,desktop
U00117,26/02/2024,Canada,ads,mobile
U00118,2023-11-23,uk,email,desktop
U00119,2023/01/05,UK,ads,tablet
U00120,22/11/2023,Germany,email,tablet
U00121,2024/01/15,US,ads,desktop
U00122,2023/01/23,uk,ads,desktop
U00123,2023-05-09,FR,ads,mobile
U00124,2023-11-03,Nigeria,referral,desktop
U00125,2023/03/07,nigeria,ads,mobile
U00126,05-22-2023,US,ads,mobile
U00127,2023/06/14,Canada,ads,mobile
U00128,2023-11-24,usa,organic,desktop
U00129,2024-02-23,US,ads,mobile
U00130,21/05/2024,US,email,mobile
U00131,2024-04-27,US,ads,desktop
U00132,03-14-2024,US,ads,desktop
U00133,2023-10-14,Nigeria,email,tablet
U00134,2023-05-08,UK,organic,desktop
U00135,2023/08/31,Nigeria,social,mobile
U00136,2023-06-04,India,referral,mobile
U00137,2024-06-25,BR,ads,desktop
U00138,2024/03/15,Australia,organic,mobile
U00139,05-28-2024,UK,organic,desktop
U00140,2023-01-10,Kenya,ads,desktop
U00141,08/05/2024,,ads,tablet
U00142,12-05-2023,US,social,desktop
U00143,2024/04/23,France,referral,tablet
U00144,12-28-2023,Canada,social,desktop
U00145,09-08-2023,Kenya,ads,mobile
U00146,2023/12/17,Canada,referral,desktop
U00147,19/09/2023,US,ads,mobile
U00148,01-14-2024,Australia,ads,mobile
U00149,2024-04-08,IN,ads,desktop
U00150,2024/02/06,US,organic,mobile
U00151,2024/01/15,DE,email,mobile
U00152,2024-05-16,IN,ads,desktop
U00153,14/03/2023,UK,organic,desktop
U00154,2023-04-04,Brazil,organic,mobile
U00155,21/02/2024,BR,social,mobile
U00156,08-03-2023,Brazil,referral,tablet
U00157,20/03/2023,FR,organic,mobile
U00158,08/10/2023,US,social,desktop
U00159,08-02-2023,US,organic,desktop
U00160,2024/06/25,US,referral,tablet
U00161,03-21-2023,South Africa,organic,desktop
U00162,2023/09/22,US,organic,mobile
U00163,2023/03/30,France,organic,desktop
U00164,2023-02-27,Nigeria,referral,desktop
U00165,2023-04-28,US,referral,mobile
U00166,2023/07/12,US,referral,tablet
U00167,2024/04/15,Nigeria,referral,mobile
U00168,2023-11-30,UK,referral,desktop
U00169,18/04/2024,Brazil,organic,tablet
U00170,2024-04-30,US,ads,desktop
U00171,2023-05-02,usa,organic,desktop
U00172,2023/05/02,US,ads,desktop
U00173,08-15-2023,US,organic,mobile
U00174,12-19-2023,US,social,mobile
U00175,2024/04/30,Nigeria,referral,mobile
U00176,31/03/2023,Germany,organic,desktop
U00177,2023-07-26,France,organic,mobile
U00178,05-09-2023,Australia,ads,desktop
U00179,12-08-2023,US,ads,desktop
U00180,2024/06/27,uk,ads,desktop
U00181,2023/12/07,US,referral,mobile
U00182,2023-09-08,Nigeria,ads,mobile
U00183,2023-06-27,India,referral,desktop
U00184,2024-06-06,France,ads,desktop
U00185,2023/05/17,CA,referral,desktop
U00186,2023/08/05,Nigeria,ads,desktop
U00187,2023-11-14,UK,ads,desktop
U00188,2023/05/05,UK,ads,desktop
U00189,2023-11-08,France,email,desktop
U00190,12-20-2023,US,ads,mobile
U00191,2023/11/10,Kenya,referral,mobile
U00192,11-17-2023,US,organic,desktop
U00193,30/04/2024,Canada,email,mobile
U00194,2023/07/27,Germany,organic,mobile
U00195,26/06/2024,CA,organic,mobile
U00196,2023/05/04,UK,referral,mobile
U00197,2023-03-14,US,organic,desktop
U00198,01-23-2024,IN,ads,desktop
U00199,02/01/2024,usa,ads,desktop
U00200,25/10/2023,US,referral,desktop
U00201,02-24-2023,Usa,email,desktop
U00202,01-30-2024,usa,organic,mobile
U00203,2024/05/27,CA,organic,desktop
U00204,2023/09/26,UK,referral,tablet
U00205,20/12/2023,UK,organic,desktop
U00206,2024/03/20,uk,organic,tablet
U00207,2023/02/03,UK,email,desktop
U00208,2023/10/27,India,referral,mobile
U00209,2023/01/29,Nigeria,ads,mobile
U00210,2023/12/21,US,social,mobile
U00211,05-23-2024,US,organic,desktop
U00212,2023-09-20,NG,social,desktop
U00213,2023/09/13,Kenya,social,desktop
U00214,2024-01-15,South Africa,referral,mobile
U00215,03-20-2023,Canada,organic,desktop
U00216,01-23-2023,US,ads,mobile
U00217,06/10/2023,UK,ads,mobile
U00218,13/06/2024,Australia,organic,mobile
U00219,03/03/2023,Nigeria,ads,desktop
U00220,22/01/2024,,referral,mobile
U00221,12-25-2023,NG,ads,desktop
U00222,01/06/2024,Australia,ads,mobile
U00223,02-27-2023,Canada,ads,desktop
U00224,20/06/2024,usa,ads,mobile
U00225,26/10/2023,Kenya,ads,mobile
U00226,10-24-2023,Nigeria,ads,desktop
U00227,2024/06/27,UK,organic,desktop
U00228,2023-08-02,US,referral,desktop
U00229,16/04/2024,Brazil,ads,mobile
U00230,16/04/2024,Australia,ads,mobile
U00231,2024-05-27,India,organic,desktop
U00232,2024/05/02,nigeria,organic,mobile
U00233,26/01/2023,Nigeria,ads,tablet
U00234,11/09/2023,Brazil,ads,mobile
U00235,04-13-2023,Australia,referral,mobile
U00236,05-08-2023,usa,ads,mobile
U00237,31/03/2023,Canada,organic,mobile
U00238,2024-03-08,UK,organic,desktop
U00239,07-25-2023,Germany,organic,desktop
U00240,2024/06/06,Brazil,social,mobile
U00241,10/05/2024,UK,organic,desktop
U00242,01-02-2024,US,referral,desktop
U00243,2024/04/18,US,referral,mobile
U00244,2024-06-28,UK,referral,desktop
U00245,2023/04/19,US,organic,mobile
U00246,2023/04/01,,referral,mobile
U00247,2023/12/19,UK,social,tablet
U00248,2024/04/01,Brazil,social,mobile
U00249,2024/05/23,US,ads,desktop
U00250,2023/08/06,UK,organic,desktop
U00251,07-03-2023,Kenya,ads,mobile
U00252,2024-02-27,,referral,mobile
U00253,2023/11/06,Usa,organic,mobile
U00254,2023-03-13,India,organic,desktop
U00255,09/02/2023,Australia,ads,mobile
U00256,14/03/2024,US,organic,tablet
U00257,31/03/2024,South Africa,organic,mobile
U00258,04-07-2024,Kenya,organic,mobile
U00259,16/05/2023,US,referral,mobile
U00260,01-12-2023,UK,ads,desktop
U00261,13/01/2023,US,ads,mobile
U00262,2023-11-23,Germany,organic,tablet
U00263,2024-01-05,Canada,email,mobile
U00264,2023-12-18,Germany,organic,desktop
U00265,2023/12/22,nigeria,organic,mobile
U00266,2023/11/08,Canada,social,mobile
U00267,11/12/2023,US,organic,mobile
U00268,02-21-2023,US,ads,desktop
U00269,2023/10/23,Nigeria,referral,mobile
U00270,30/03/2023,Kenya,referral,desktop
U00271,12-01-2023,Canada,organic,desktop
U00272,2023-12-19,uk,ads,tablet
U00273,08-31-2023,Canada,ads,desktop
U00274,2023-10-18,US,social,desktop
U00275,03-14-2023,Canada,organic,tablet
U00276,04-12-2023,DE,organic,desktop
U00277,2024/06/04,US,ads,mobile
U00278,02-09-2023,Usa,referral,mobile
U00279,22/03/2023,Nigeria,ads,mobile
U00280,03-08-2024,UK,organic,tablet
U00281,2024-03-21,US,ads,desktop
U00282,2024-04-18,India,social,mobile
U00283,28/08/2023,UK,ads,mobile
U00284,2023-11-08,US,organic,tablet
U00285,2023/03/13,Brazil,referral,mobile
U00286,11-23-2023,Canada,ads,mobile
U00287,2023-08-31,Brazil,ads,tablet
U00288,2023-02-10,US,organic,tablet
U00289,2024/06/07,US,ads,desktop
U00290,2024-02-02,US,ads,desktop
U00291,2023/08/09,India,social,desktop
U00292,14/02/2024,India,ads,mobile
U00293,12/02/2023,UK,organic,tablet
U00294,2023-07-18,UK,ads,mobile
U00295,22/01/2024,Brazil,ads,mobile
U00296,10-23-2023,Germany,social,mobile
U00297,2023-02-02,Canada,organic,desktop
U00298,2023/09/01,Nigeria,ads,desktop
U00299,31/03/2023,uk,organic,mobile
U00300,2024-04-25,Canada,social,mobile
U00301,2023/12/06,Kenya,organic,mobile
U00302,2024/04/02,uk,referral,mobile
U00303,08-29-2023,Brazil,ads,mobile
U00304,2023-05-11,US,referral,desktop
U00305,29/09/2023,UK,social,desktop
U00306,03/07/2023,US,organic,mobile
U00307,2023-05-15,Nigeria,organic,tablet
U00308,2023/05/18,BR,referral,desktop
U00309,03-13-2024,BR,referral,desktop
U00310,2024-05-02,UK,organic,desktop
U00311,2023-08-24,Australia,ads,desktop
U00312,2023-08-30,Canada,ads,mobile
U00313,2023/03/01,nigeria,organic,desktop
U00314,2023-12-26,Nigeria,referral,tablet
U00315,2024/03/20,nigeria,organic,mobile
U00316,2024-01-25,US,organic,desktop
U00317,2023-03-07,Germany,referral,mobile
U00318,12/07/2023,IN,ads,desktop
U00319,2023/10/10,UK,ads,mobile
U00320,09-20-2023,India,referral,mobile
U00321,2023/02/21,UK,organic,desktop
U00322,09/08/2023,usa,social,desktop
U00323,09-16-2023,India,organic,mobile
U00324,24/05/2024,IN,referral,desktop
U00325,03-07-2023,UK,referral,mobile
U00326,2023-04-10,India,social,tablet
U00327,05-16-2024,India,ads,desktop
U00328,01-13-2024,US,organic,mobile
U00329,2023-03-20,Germany,email,desktop
U00330,29/05/2024,UK,email,desktop
U00331,08/04/2024,UK,organic,mobile
U00332,2023/05/09,Brazil,ads,mobile
U00333,2023/10/10,India,social,mobile
U00334,2024/04/19,Usa,email,tablet
U00335,08-29-2023,France,ads,mobile
U00336,06-10-2024,Nigeria,ads,desktop
U00337,24/10/2023,Germany,referral,desktop
U00338,06-05-2023,Australia,referral,mobile
U00339,2023-02-10,nigeria,ads,mobile
U00340,2024-02-05,Kenya,organic,mobile
U00341,05/05/2023,usa,ads,desktop
U00342,12-06-2023,US,organic,desktop
U00343,03/07/2023,uk,organic,mobile
U00344,2023/04/24,US,organic,mobile
U00345,2024/06/24,FR,organic,tablet
U00346,2023-12-15,Nigeria,organic,mobile
U00347,2023/07/18,US,organic,desktop
U00348,03-28-2023,Australia,ads,mobile
U00349,2023/04/05,US,ads,desktop
U00350,2023-02-18,,ads,desktop
U00351,2023/07/07,IN,organic,mobile
U00352,2023/01/02,Nigeria,ads,mobile
U00353,05-26-2023,India,social,mobile
U00354,2023-02-22,Germany,referral,desktop
U00355,2023/10/31,South Africa,ads,mobile
U00356,10-17-2023,usa,email,mobile
U00357,2023-02-22,UK,ads,tablet
U00358,27/03/2024,Brazil,email,mobile
U00359,2023/09/20,France,referral,mobile
U00360,24/06/2024,CA,referral,mobile
U00361,2023-12-22,US,ads,mobile
U00362,02-05-2024,uk,referral,desktop
U00363,2023-05-29,Usa,ads,tablet
U00364,05-24-2024,UK,ads,mobile
U00365,2023/12/06,,ads,tablet
U00366,05-26-2023,CA,social,desktop
U00367,2024/02/08,usa,organic,tablet
U00368,03-03-2023,Canada,referral,mobile
U00369,09-07-2023,US,organic,mobile
U00370,11-27-2023,US,social,desktop
U00371,2023/12/14,US,social,mobile
U00372,2023/08/02,NG,organic,mobile
U00373,10/10/2023,Germany,email,desktop
U00374,2023/01/25,US,referral,desktop
U00375,01-28-2023,usa,email,desktop
U00376,09/10/2023,uk,referral,mobile
U00377,2024/06/11,Canada,ads,mobile
U00378,03-01-2023,Nigeria,organic,desktop
U00379,06/11/2023,UK,referral,mobile
U00380,2023/03/30,US,social,mobile
U00381,02-07-2024,uk,referral,mobile
U00382,2023/06/16,Nigeria,ads,desktop
U00383,2023/06/05,US,organic,mobile
U00384,2023-05-15,,social,desktop
U00385,06-13-2024,Kenya,ads,desktop
U00386,02-20-2023,Germany,referral,mobile
U00387,03/05/2023,IN,social,desktop
U00388,2023/04/05,US,organic,mobile
U00389,20/03/2024,UK,ads,desktop
U00390,2023/02/21,UK,ads,tablet
U00391,2024-02-13,Canada,email,desktop
U00392,05-13-2024,US,ads,desktop
U00393,10/04/2023,South Africa,email,desktop
U00394,2023-04-11,Canada,ads,mobile
U00395,07/02/2024,US,ads,mobile
U00396,09-08-2023,IN,organic,mobile
U00397,03-03-2023,usa,organic,desktop
U00398,22/04/2024,Germany,organic,desktop
U00399,04-04-2024,Nigeria,organic,mobile
U00400,2024-03-13,US,organic,mobile
U00401,13/05/2024,BR,referral,mobile
U00402,2024-03-20,Canada,referral,desktop
U00403,01-22-2024,,referral,desktop
U00404,2024/05/13,UK,ads,mobile
U00405,2024/06/18,US,organic,desktop
U00406,12/01/2024,Canada,organic,mobile
U00407,08-31-2023,Kenya,social,mobile
U00408,2023-11-06,US,email,mobile
U00409,09-05-2023,usa,ads,mobile
U00410,2023/12/16,US,organic,mobile
U00411,04-22-2024,Canada,ads,mobile
U00412,01-23-2024,Germany,ads,desktop
U00413,2024/01/22,US,organic,desktop
U00414,2023-07-06,US,referral,mobile
U00415,2023/02/09,Usa,ads,desktop
U00416,2023/08/10,Germany,organic,mobile
U00417,2023-10-12,BR,ads,mobile
U00418,08/11/2023,US,referral,desktop
U00419,2023/10/09,Germany,ads,mobile
U00420,29/04/2024,India,referral,mobile
U00421,03-17-2023,uk,ads,mobile
U00422,2023-04-23,Germany,ads,desktop
U00423,2023/02/05,IN,ads,desktop
U00424,04-26-2023,Nigeria,referral,mobile
U00425,11-02-2023,Nigeria,social,mobile
U00426,2024/01/30,FR,referral,desktop
U00427,03-13-2024,UK,ads,mobile
U00428,09-15-2023,India,organic,desktop
U00429,2024/06/18,NG,organic,desktop
U00430,26/07/2023,nigeria,email,desktop
U00431,2023/02/09,Nigeria,ads,mobile
U00432,2023-04-25,France,social,mobile
U00433,2024-03-20,IN,organic,mobile
U00434,2023/04/28,Canada,social,mobile
U00435,2024-01-25,Australia,referral,desktop
U00436,04-18-2023,Germany,organic,desktop
U00437,05-29-2024,CA,referral,mobile
U00438,05-15-2023,Canada,referral,mobile
U00439,2024/06/12,nigeria,social,mobile
U00440,05-30-2023,usa,ads,desktop
U00441,01-15-2024,UK,ads,mobile
U00442,2023/08/12,India,referral,mobile
U00443,2023-09-26,BR,organic,mobile
U00444,03-03-2023,UK,ads,desktop
U00445,01-08-2024,US,organic,desktop
U00446,2024-03-12,IN,ads,mobile
U00447,23/04/2024,Brazil,referral,mobile
U00448,09/02/2023,India,referral,mobile
U00449,2023/02/10,US,ads,mobile
U00450,2023-03-20,India,email,mobile
U00451,2023/05/03,Canada,referral,desktop
U00452,05-20-2024,US,email,mobile
U00453,2023-08-10,nigeria,organic,tablet
U00454,2024-05-21,Nigeria,organic,desktop
U00455,2023/05/16,Canada,organic,mobile
U00456,2024-01-20,Brazil,ads,mobile
U00457,2023/09/18,Usa,ads,desktop
U00458,2023/03/29,UK,organic,tablet
U00459,05-25-2023,US,social,mobile
U00460,2023/05/31,US,referral,desktop
U00461,2023/11/29,Germany,ads,mobile
U00462,2024/06/03,US,organic,mobile
U00463,2023/01/06,usa,ads,mobile
U00464,2023-07-27,UK,ads,desktop
U00465,06-22-2024,India,organic,desktop
U00466,05-05-2023,uk,social,desktop
U00467,06-20-2024,US,referral,mobile
U00468,2024/04/22,US,organic,mobile
U00469,2024/04/15,UK,ads,desktop
U00470,22/02/2024,Australia,social,mobile
U00471,2024/06/12,Brazil,referral,mobile
U00472,2024-02-15,IN,ads,mobile
U00473,17/02/2023,FR,referral,desktop
U00474,03-20-2024,Germany,organic,mobile
U00475,09/02/2024,Canada,organic,desktop
U00476,2024/03/28,CA,organic,desktop
U00477,2023/02/13,Canada,organic,desktop
U00478,2023/12/21,DE,organic,desktop
U00479,2024-06-06,France,ads,tablet
U00480,2023-01-03,Brazil,organic,desktop
U00481,2024-06-28,US,referral,mobile
U00482,02/01/2024,US,ads,desktop
U00483,2024/05/16,Canada,ads,mobile
U00484,06-14-2024,India,referral,mobile
U00485,03/04/2023,US,referral,desktop
U00486,2023-06-22,FR,organic,tablet
U00487,27/02/2024,Canada,referral,mobile
U00488,07-12-2023,Canada,ads,mobile
U00489,2023-03-29,US,referral,desktop
U00490,2023-07-06,US,organic,mobile
U00491,2023-12-13,Nigeria,social,tablet
U00492,2023/07/10,Brazil,organic,desktop
U00493,13/02/2023,US,ads,mobile
U00494,09/04/2024,BR,social,mobile
U00495,23/08/2023,South Africa,organic,desktop
U00496,17/02/2023,DE,referral,tablet
U00497,2024/05/01,India,ads,desktop
U00498,2023/02/06,UK,referral,desktop
U00499,2024/02/12,UK,social,desktop
U00500,2023/04/26,UK,ads,mobile
U00501,07/07/2023,Kenya,organic,mobile
U00502,2023/12/26,US,referral,desktop
U00503,08/03/2024,Germany,organic,mobile
U00504,2023-07-18,US,ads,desktop
U00505,2023-03-13,Germany,social,mobile
U00506,2023-07-28,UK,social,desktop
U00507,26/02/2023,BR,referral,tablet
U00508,2024-01-08,US,ads,mobile
U00509,2023/06/14,US,social,mobile
U00510,06-08-2023,uk,ads,desktop
U00511,08-08-2023,UK,ads,desktop
U00512,2023/08/28,usa,ads,desktop
U00513,12-28-2023,US,social,desktop
U00514,2023-06-07,UK,ads,desktop
U00515,12/03/2024,Kenya,organic,tablet
U00516,2023/01/13,usa,referral,desktop
U00517,18/08/2023,US,organic,mobile
U00518,10-23-2023,DE,ads,desktop
U00519,2023/07/19,BR,ads,tablet
U00520,24/12/2023,Australia,ads,mobile
U00521,2024-02-29,CA,organic,desktop
U00522,2024-02-11,Kenya,organic,desktop
U00523,05/01/2023,Canada,organic,desktop
U00524,22/02/2023,IN,organic,mobile
U00525,2023/02/16,NG,referral,desktop
U00526,2024/05/27,CA,organic,mobile
U00527,01-10-2023,US,referral,tablet
U00528,2024/02/21,Usa,organic,desktop
U00529,20/05/2023,US,referral,mobile
U00530,05-30-2023,NG,referral,mobile
U00531,07-27-2023,Australia,ads,mobile
U00532,2023/03/14,uk,ads,mobile
U00533,13/02/2023,NG,organic,desktop
U00534,03-06-2023,CA,ads,desktop
U00535,2024-03-15,Kenya,organic,desktop
U00536,2023/06/28,US,social,desktop
U00537,2023-07-30,US,social,mobile
U00538,2023/09/02,US,referral,mobile
U00539,01/03/2023,UK,organic,desktop
U00540,2023/10/30,India,referral,mobile
U00541,2023-04-19,Australia,social,tablet
U00542,2024-01-24,Brazil,ads,mobile
U00543,2023/12/06,US,organic,mobile
U00544,2023/09/11,US,referral,mobile
U00545,2024/01/17,US,ads,desktop
U00546,2023-12-02,Nigeria,referral,mobile
U00547,2024-04-25,UK,ads,tablet
U00548,2023/10/23,IN,referral,mobile
U00549,03-13-2023,US,ads,desktop
U00550,2023/07/29,US,organic,desktop
U00551,2024-03-08,DE,referral,desktop
U00552,01-21-2023,Germany,organic,desktop
U00553,2023/10/27,US,ads,desktop
U00554,07/03/2023,Brazil,referral,mobile
U00555,2023/04/18,usa,ads,mobile
U00556,04-24-2023,US,organic,desktop
U00557,11-24-2023,UK,ads,mobile
U00558,30/04/2024,CA,referral,desktop
U00559,2023-12-22,US,organic,mobile
U00560,04-26-2024,UK,ads,desktop
U00561,01/12/2023,France,referral,desktop
U00562,22/08/2023,UK,referral,desktop
U00563,01-08-2024,UK,organic,desktop
U00564,2023/08/15,Brazil,social,desktop
U00565,09-11-2023,UK,ads,desktop
U00566,30/03/2023,DE,organic,desktop
U00567,2024/06/13,BR,referral,mobile
U00568,2023-06-12,Canada,ads,desktop
U00569,11-14-2023,India,ads,mobile
U00570,2023/07/07,usa,referral,mobile
U00571,2023/10/20,US,ads,desktop
U00572,2024/03/28,uk,referral,desktop
U00573,2024-02-27,US,ads,desktop
U00574,2023/05/10,nigeria,referral,mobile
U00575,2023-09-15,Australia,ads,mobile
U00576,01/02/2024,Brazil,referral,desktop
U00577,13/12/2023,UK,ads,desktop
U00578,09-25-2023,US,ads,mobile
U00579,20/11/2023,US,organic,tablet
U00580,28/09/2023,UK,ads,desktop
U00581,2024-02-09,CA,ads,desktop
U00582,12-07-2023,Brazil,social,desktop
U00583,2023-02-22,UK,organic,tablet
U00584,2023-01-18,Kenya,ads,desktop
U00585,2024/03/04,US,ads,desktop
U00586,25/12/2023,US,ads,desktop
U00587,2023/05/25,NG,referral,desktop
U00588,2023/01/23,Brazil,referral,mobile
U00589,04/04/2024,Canada,ads,mobile
U00590,2023-06-09,Usa,email,tablet
U00591,03-24-2024,South Africa,referral,mobile
U00592,09-11-2023,US,ads,mobile
U00593,06-04-2024,Kenya,ads,desktop
U00594,2024-04-08,uk,referral,desktop
U00595,28/09/2023,UK,ads,desktop
U00596,2024-06-07,IN,ads,desktop
U00597,06/06/2024,US,ads,mobile
U00598,2023/08/26,UK,social,mobile
U00599,2023/11/21,Nigeria,organic,desktop
U00600,25/11/2023,NG,referral,desktop
U00601,07/03/2024,US,ads,mobile
U00602,2023-05-26,UK,ads,desktop
U00603,06/10/2023,US,ads,mobile
U00604,2023/10/26,DE,ads,desktop
U00605,2023/11/14,India,ads,desktop
U00606,2024-01-15,US,organic,desktop
U00607,21/06/2023,UK,organic,mobile
U00608,2024/02/22,Usa,organic,tablet
U00609,2024/03/15,Brazil,email,tablet
U00610,03-20-2024,US,ads,tablet
U00611,2024/02/26,France,email,mobile
U00612,29/02/2024,US,ads,mobile
U00613,2023-01-26,Canada,ads,mobile
U00614,08/12/2023,Kenya,organic,tablet
U00615,06-13-2023,France,social,desktop
U00616,19/04/2024,NG,ads,mobile
U00617,02-16-2023,DE,ads,desktop
U00618,04-08-2024,Germany,organic,mobile
U00619,2024/06/11,France,organic,mobile
U00620,16/02/2023,Usa,referral,mobile
U00621,13/07/2023,US,social,mobile
U00622,2023/04/21,Nigeria,referral,mobile
U00623,2023-10-19,Canada,organic,desktop
U00624,11-09-2023,Germany,email,mobile
U00625,2023-12-20,CA,ads,desktop
U00626,03-14-2023,Brazil,ads,desktop
U00627,11-05-2023,Canada,organic,desktop
U00628,08/09/2023,FR,ads,mobile
U00629,2024-03-15,Kenya,ads,mobile
U00630,2023-02-05,Australia,ads,mobile
U00631,2023/05/03,Canada,ads,mobile
U00632,06-07-2023,India,organic,desktop
U00633,05-04-2023,South Africa,ads,mobile
U00634,14/07/2023,US,ads,desktop
U00635,10/02/2023,uk,referral,mobile
U00636,2023-11-30,nigeria,organic,tablet
U00637,01/01/2023,US,organic,desktop
U00638,2024-02-08,India,ads,mobile
U00639,24/06/2024,UK,organic,desktop
U00640,2024-01-07,uk,organic,tablet
U00641,22/03/2023,UK,ads,mobile
U00642,25/10/2023,Australia,email,mobile
U00643,23/02/2023,Germany,referral,mobile
U00644,08/12/2023,UK,social,mobile
U00645,16/11/2023,Nigeria,social,desktop
U00646,2023-03-09,,organic,mobile
U00647,2024/04/02,Brazil,ads,mobile
U00648,12/07/2023,Usa,referral,mobile
U00649,03-05-2024,Nigeria,referral,tablet
U00650,20/06/2024,US,referral,mobile
U00651,2024/02/07,Nigeria,referral,mobile
U00652,2023/08/18,nigeria,organic,mobile
U00653,2023-10-27,US,ads,desktop
U00654,02-15-2024,,organic,mobile
U00655,04-13-2023,uk,referral,desktop
U00656,2024/02/29,India,organic,tablet
U00657,26/02/2023,US,organic,mobile
U00658,01-31-2023,US,ads,desktop
U00659,2024/05/03,IN,ads,tablet
U00660,06/03/2023,NG,referral,desktop
U00661,04/08/2023,US,ads,mobile
