session_id,user_id,session_start,session_end,session_duration_seconds
SES0000072,U00014,2023-12-26 16:33:21,2023-12-26 16:34:59,98
SES0000073,U00015,2023-10-06 17:22:32,2023-10-06 17:26:36,244
SES0000074,U00015,2023-10-04T22:12:54Z,2023-10-04 22:14:36,102
SES0000075,U00015,2023-10-09 06:49:52,2023-10-09T06:52:51Z,N/A
SES0000076,U00016,2024-04-18T02:07:46Z,2024-04-18T03:06:10Z,3504
SES0000077,U00016,2024-04-18T18:07:31Z,18/04/2024 18:09,115
SES0000078,U00017,24/06/2023 20:18,2023-06-24T20:42:19Z,1448
SES0000079,U00018,20/07/2023 04:06,2023-07-23 06:22:19,267325
SES0000080,U00018,2023-07-28T16:43:19Z,2023-07-28T16:44:36Z,77
SES0000081,U00018,04/07/2023 10:23,2023-07-04T10:24:50Z,78
SES0000082,U00018,2023-07-24 13:49:12,2023-07-24 13:50:07,55
SES0000083,U00018,2023-07-19 23:18:21,2023-07-19T23:20:27Z,
SES0000084,U00018,06/07/2023 19:55,2023-07-06 19:57:58,N/A
SES0000085,U00018,2023-07-12T02:45:02Z,2023-07-12T02:45:50Z,48
SES0000086,U00018,06/07/2023 20:33,2023-07-06T20:38:20Z,299
SES0000087,U00018,2023-07-19T23:32:39Z,2023-07-19 23:33:20,41
SES0000088,U00018,23/07/2023 08:24,23/07/2023 08:28,214
SES0000089,U00018,03/07/2023 01:03,2023-07-03 01:05:46,153
SES0000090,U00018,2023-07-18 07:17:42,2023-07-18 07:19:53,131
SES0000091,U00018,2023-07-06 12:38:57,2023-07-06T12:51:22Z,745
SES0000092,U00018,2023-07-25T05:48:10Z,2023-07-25T06:23:59Z,2149
SES0000093,U00018,02/07/2023 01:45,02/07/2023 01:47,161
SES0000094,U00018,2023-07-22T22:23:46Z,2023-07-22 22:25:01,75
SES0000095,U00018,2023-06-29 07:18:34,29/06/2023 07:21,205
SES0000096,U00018,2023-07-28T10:51:19Z,28/07/2023 10:53,122
SES0000097,U00018,2023-07-27 03:13:51,2023-07-27T03:32:50Z,1139
SES0000098,U00018,29/06/2023 19:22,2023-06-29 19:23:42,45
SES0000099,U00018,2023-07-28T16:36:25Z,2023-07-28T16:51:14Z,889
SES0000100,U00018,27/07/2023 19:06,2023-07-27T19:48:09Z,2526
SES0000101,U00018,29/06/2023 10:31,29/06/2023 10:51,1182
SES0000102,U00018,22/07/2023 01:37,2023-07-22T01:37:48Z,21
SES0000103,U00018,2023-07-18T05:47:22Z,18/07/2023 05:49,137
SES0000104,U00018,2023-07-11T08:59:30Z,2023-07-11 09:03:08,218
SES0000105,U00018,28/07/2023 12:40,2023-07-28 12:41:11,33
SES0000106,U00018,2023-07-18T08:28:54Z,2023-07-18T08:35:51Z,417
SES0000107,U00018,30/06/2023 08:34,2023-06-30 08:35:22,73
SES0000108,U00018,14/07/2023 20:35,2023-07-14T20:36:10Z,N/A
SES0000109,U00018,2023-07-11T06:22:24Z,2023-07-11 06:24:11,107
SES0000110,U00018,2023-06-30T23:56:31Z,30/06/2023 23:58,89
SES0000111,U00018,2023-07-11 17:08:56,2023-07-11 17:44:52,2156
SES0000112,U00018,2023-07-06T06:02:13Z,07/07/2023 06:04,86565
SES0000113,U00018,2023-07-17T22:49:21Z,2023-07-17 22:55:24,363
SES0000114,U00018,2023-06-29T20:08:28Z,2023-06-29T20:10:22Z,114
SES0000115,U00018,2023-07-13 06:45:21,2023-07-13T06:47:08Z,107
SES0000116,U00018,2023-07-04 17:50:49,04/07/2023 17:53,N/A
SES0000117,U00018,17/07/2023 01:49,2023-07-17T01:50:18Z,22
SES0000118,U00018,2023-07-18 11:02:47,2023-07-18 11:09:50,423
SES0000119,U00019,2023-08-01 07:02:56,2023-08-01 07:08:56,360
SES0000120,U00020,07/09/2023 16:11,2023-09-07T16:11:24Z,19
SES0000121,U00021,2023-07-03 07:20:55,2023-07-03T07:25:00Z,245
SES0000122,U00021,04/06/2023 17:37,2023-06-04 17:38:23,69
SES0000123,U00021,2023-05-11 17:37:04,2023-05-11T17:42:40Z,336
SES0000124,U00021,2023-09-20 07:01:17,20/09/2023 07:02,70
SES0000125,U00021,2023-09-18T23:38:56Z,2023-09-18T23:39:35Z,39
SES0000126,U00021,23/06/2023 09:02,2023-06-23 09:04:55,169
SES0000127,U00021,2023-09-07 09:54:04,07/09/2023 09:54,30
SES0000128,U00021,16/10/2023 21:58,2023-10-16 21:59:03,38
SES0000129,U00021,2023-09-17T11:41:38Z,2023-09-17T11:43:22Z,104
SES0000130,U00021,04/10/2023 16:04,2023-10-04T16:09:12Z,254
SES0000131,U00022,2024-04-17T08:43:33Z,2024-04-17T08:43:38Z,5
SES0000132,U00022,2024-03-31T22:34:10Z,2024-03-31 22:35:27,77
SES0000133,U00022,2024-04-21T06:24:55Z,21/04/2024 06:34,601
SES0000134,U00023,08/02/2024 18:11,2024-02-08T18:11:04Z,0
SES0000135,U00023,2024-02-02 18:13:55,02/02/2024 18:15,95
SES0000136,U00023,2024-02-04 17:57:05,04/02/2024 17:59,123
SES0000137,U00023,07/02/2024 03:44,07/02/2024 03:48,237
SES0000138,U00023,2024-02-06 14:21:45,2024-02-06 14:43:51,1326
SES0000139,U00023,06/02/2024 19:21,06/02/2024 19:21,22
SES0000140,U00023,2024-02-02T15:20:16Z,2024-02-02T15:24:28Z,252
SES0000141,U00023,2024-02-08T17:23:39Z,2024-02-08T17:23:39Z,0
SES0000142,U00023,06/02/2024 03:08,2024-02-06 03:08:48,14
SES0000143,U00023,2024-02-05T13:52:09Z,2024-02-05T13:53:11Z,62
SES0000144,U00023,07/02/2024 13:21,07/02/2024 13:24,201
SES0000145,U00023,2024-02-08 22:19:12,2024-02-08 22:20:29,77
SES0000146,U00023,2024-02-03 17:47:07,2024-02-03 17:49:12,125
SES0000147,U00023,05/02/2024 15:09,2024-02-05 15:12:14,159
SES0000148,U00023,2024-02-05 23:35:07,05/02/2024 23:42,443
SES0000149,U00023,2024-02-04 12:02:02,2024-02-04 12:03:20,78
SES0000150,U00023,2024-02-04T05:04:36Z,2024-02-04 05:13:33,537
SES0000151,U00023,02/02/2024 23:51,2024-02-02T23:55:19Z,224
SES0000152,U00023,2024-02-02 03:18:28,2024-02-02 03:32:58,870
SES0000153,U00023,07/02/2024 09:42,2024-02-07T09:44:23Z,138
SES0000154,U00023,2024-02-04T12:30:16Z,2024-02-04T12:30:25Z,9
SES0000155,U00023,2024-02-02 06:01:11,2024-02-02 06:07:45,394
SES0000156,U00023,2024-02-06T18:55:30Z,09/02/2024 09:42,226027
SES0000157,U00023,05/02/2024 17:31,2024-02-05T17:33:22Z,98
SES0000158,U00023,03/02/2024 05:26,2024-02-03 05:59:07,1974
SES0000159,U00023,07/02/2024 14:17,2024-02-07 14:18:04,51
SES0000160,U00023,2024-02-07T08:07:17Z,2024-02-07 08:09:52,155
SES0000161,U00023,02/02/2024 02:04,2024-02-02 02:08:42,263
SES0000162,U00023,06/02/2024 10:48,06/02/2024 10:52,218
SES0000163,U00023,04/02/2024 21:43,04/02/2024 21:47,222
SES0000164,U00023,2024-02-04 23:40:53,04/02/2024 23:42,74
SES0000165,U00023,07/02/2024 21:36,2024-02-07 21:36:40,26
SES0000166,U00023,2024-02-05 13:55:14,2024-02-05T14:01:01Z,347
SES0000167,U00023,2024-02-07T14:31:00Z,07/02/2024 14:40,599
SES0000168,U00023,2024-02-06 23:18:11,2024-02-06 23:20:01,
SES0000169,U00023,2024-02-05 04:54:45,05/02/2024 04:55,41
SES0000170,U00023,2024-02-05 03:29:12,2024-02-05 03:34:00,288
SES0000171,U00023,2024-02-08T23:34:52Z,2024-02-08T23:35:52Z,60
SES0000172,U00023,2024-02-02T01:02:48Z,02/02/2024 01:05,176
SES0000173,U00023,2024-02-05T06:31:59Z,05/02/2024 06:32,17
SES0000174,U00023,03/02/2024 15:33,2024-02-03T15:38:34Z,334
SES0000175,U00023,08/02/2024 19:05,2024-02-08 19:07:19,89
SES0000176,U00023,2024-02-08 15:43:34,08/02/2024 15:45,124
SES0000177,U00023,2024-02-05T10:42:38Z,2024-02-05 10:49:11,393
SES0000178,U00023,2024-02-03 08:49:52,2024-02-03 08:59:52,600
SES0000179,U00023,2024-02-08T14:43:42Z,2024-02-08 14:44:43,
SES0000180,U00023,2024-02-04 19:45:44,04/02/2024 20:05,1198
SES0000181,U00023,2024-02-05 09:24:35,05/02/2024 09:33,523
SES0000182,U00023,2024-02-06T12:07:44Z,2024-02-06 12:10:30,166
SES0000183,U00023,03/02/2024 18:00,2024-02-03 18:07:42,460
SES0000184,U00023,06/02/2024 17:31,2024-02-06 17:34:47,179
SES0000185,U00023,04/02/2024 06:02,2024-02-04 06:03:36,82
SES0000186,U00023,2024-02-03 07:25:22,2024-02-03T07:28:20Z,178
SES0000187,U00023,2024-02-06 15:06:53,2024-02-06 15:07:41,48
SES0000188,U00023,2024-02-03 20:06:43,2024-02-03T20:07:11Z,28
SES0000189,U00023,2024-02-06 08:58:17,2024-02-06 09:01:13,
SES0000190,U00023,06/02/2024 01:09,2024-02-06 01:09:00,0
SES0000191,U00023,2024-02-04 07:11:52,2024-02-04T07:14:03Z,131
SES0000192,U00023,08/02/2024 04:20,08/02/2024 04:23,139
SES0000193,U00023,2024-02-05 09:21:36,05/02/2024 09:49,1658
SES0000194,U00023,2024-02-02 01:49:54,02/02/2024 01:52,129
SES0000195,U00023,2024-02-05 13:22:55,2024-02-05 13:23:40,45
SES0000196,U00023,2024-02-05T06:36:27Z,05/02/2024 06:41,273
SES0000197,U00023,2024-02-05 16:51:51,2024-02-05 16:57:55,364
SES0000198,U00023,04/02/2024 05:11,2024-02-04 05:13:18,95
SES0000199,U00023,07/02/2024 15:37,07/02/2024 15:40,200
SES0000200,U00023,2024-02-06T08:35:33Z,2024-02-06 08:38:46,193
SES0000201,U00023,2024-02-05T21:06:37Z,05/02/2024 21:25,1122
SES0000202,U00023,2024-02-05T11:10:05Z,2024-02-05T11:37:56Z,1671
SES0000203,U00023,07/02/2024 02:42,07/02/2024 02:43,35
SES0000204,U00023,2024-02-07 12:52:26,2024-02-07T12:53:19Z,53
SES0000205,U00023,03/02/2024 07:54,2024-02-03 07:57:34,198
SES0000206,U00023,2024-02-02 14:39:57,02/02/2024 14:41,69
SES0000207,U00023,2024-02-03 13:14:28,2024-02-03T13:24:11Z,583
SES0000208,U00023,2024-02-03 21:56:21,2024-02-03T21:56:44Z,23
SES0000209,U00023,02/02/2024 02:50,02/02/2024 02:50,15
SES0000210,U00023,02/02/2024 00:26,2024-02-02 00:28:56,174
SES0000211,U00023,03/02/2024 08:23,2024-02-03 08:26:50,178
SES0000212,U00023,2024-02-02 06:44:26,2024-02-02 06:52:08,462
SES0000213,U00023,2024-02-03T16:26:49Z,2024-02-03T16:30:48Z,239
SES0000214,U00024,2023-04-15 08:54:30,2023-04-15T08:55:59Z,89
SES0000215,U00024,2023-09-10T03:41:10Z,2023-09-10T03:43:30Z,140
SES0000216,U00024,14/07/2023 16:54,2023-07-14 16:58:16,245
SES0000217,U00024,2024-03-24T00:12:43Z,2024-03-24 00:13:32,49
SES0000218,U00024,2024-01-17T20:31:57Z,2024-01-20 18:50:20,253103
SES0000219,U00024,2023-04-24T13:39:39Z,2023-04-24T13:41:16Z,
SES0000220,U00024,2023-11-15 22:35:28,2023-11-15T22:36:11Z,43
SES0000221,U00024,2023-04-18T20:13:36Z,2023-04-18 20:13:59,
SES0000222,U00024,21/12/2023 11:19,2023-12-21 11:22:09,177
SES0000223,U00024,25/05/2023 23:30,25/05/2023 23:41,705
SES0000224,U00024,2023-12-21 12:20:04,21/12/2023 12:21,97
SES0000225,U00024,2023-07-28T00:04:16Z,2023-07-28 00:04:16,0
SES0000226,U00024,2023-10-29 05:50:53,2023-10-29T05:54:49Z,236
SES0000227,U00024,2023-08-03 03:15:12,2023-08-03 04:13:41,3509
SES0000228,U00024,2023-04-19 12:11:31,19/04/2023 12:12,65
SES0000229,U00024,2023-05-01T15:47:05Z,01/05/2023 15:51,274
SES0000230,U00024,24/04/2023 15:48,2023-04-24 15:50:07,104
SES0000231,U00024,2023-10-08T07:26:43Z,08/10/2023 07:32,350
SES0000232,U00024,28/07/2023 04:34,28/07/2023 04:36,115
SES0000233,U00024,21/06/2023 23:01,2023-06-21 23:08:05,417
SES0000234,U00024,31/03/2023 15:47,31/03/2023 15:48,55
SES0000235,U00024,20/02/2024 07:10,2024-02-20T07:11:44Z,57
SES0000236,U00024,2023-06-02T15:54:40Z,2023-06-02 15:55:33,53
SES0000237,U00024,29/08/2023 02:35,2023-08-29T02:37:49Z,134
SES0000238,U00024,2024-01-27T03:41:20Z,27/01/2024 03:43,116
SES0000239,U00024,2024-03-06 06:18:14,2024-03-06T06:19:18Z,64
SES0000240,U00024,2023-05-29 23:59:13,2023-05-30T00:03:04Z,231
SES0000241,U00024,24/07/2023 19:02,2023-07-24 19:04:37,148
SES0000242,U00024,26/07/2023 11:02,2023-07-26T11:18:08Z,961
SES0000243,U00024,2024-01-09T17:02:00Z,09/01/2024 17:06,
SES0000244,U00024,03/02/2024 02:08,2024-02-03 02:08:33,12
SES0000245,U00024,27/10/2023 07:37,2023-10-30 08:19:27,261693
SES0000246,U00024,2023-08-07T00:27:09Z,2023-08-07 00:41:04,835
SES0000247,U00024,20/10/2023 03:30,2023-10-20 03:33:09,161
SES0000248,U00024,2023-08-10 21:13:34,2023-08-10 21:14:21,47
SES0000249,U00024,29/12/2023 01:12,2023-12-29 01:14:28,N/A
SES0000250,U00024,2023-05-07 00:32:33,2023-05-07 00:40:59,506
SES0000251,U00024,2023-12-25 09:54:57,2023-12-25 09:55:29,32
SES0000252,U00024,2023-05-02T17:52:42Z,2023-05-02T17:52:59Z,17
SES0000253,U00024,2023-09-06 03:31:45,2023-09-06T03:38:03Z,378
SES0000254,U00026,2024-04-17 18:17:46,2024-04-17 18:19:54,128
SES0000255,U00026,2024-03-29 11:33:51,2024-03-29T11:35:21Z,90
SES0000256,U00026,2024-04-07T07:27:29Z,2024-04-08 17:28:40,122471
SES0000257,U00026,2024-04-25T10:12:28Z,2024-04-25 10:13:46,78
SES0000258,U00026,01/05/2024 15:39,2024-05-01 16:29:55,3015
SES0000259,U00026,2024-04-07 23:44:40,2024-04-07 23:45:37,57
SES0000260,U00026,04/03/2024 16:13,04/03/2024 16:23,575
SES0000261,U00026,2024-05-10 04:33:46,10/05/2024 04:34,59
SES0000262,U00026,2024-03-05T01:55:51Z,05/03/2024 01:57,117
SES0000263,U00026,2024-05-08T05:27:25Z,08/05/2024 05:29,127
SES0000264,U00026,22/02/2024 10:28,2024-02-22T10:30:04Z,97
SES0000265,U00026,28/04/2024 16:17,2024-04-28 16:18:00,39
SES0000266,U00026,2024-03-08T03:00:40Z,2024-03-08T03:03:18Z,158
SES0000267,U00026,2024-02-26T22:09:30Z,2024-02-26 22:25:04,934
SES0000268,U00026,2024-03-08 09:32:50,2024-03-08 09:33:26,36
SES0000269,U00026,2024-03-17T17:14:55Z,17/03/2024 17:15,60
SES0000270,U00026,2024-03-26 06:02:25,26/03/2024 06:06,265
SES0000271,U00026,09/04/2024 09:28,2024-04-09 09:29:53,73
SES0000272,U00026,2024-03-18 01:47:15,2024-03-18T01:49:25Z,130
SES0000273,U00026,2024-04-30T19:13:41Z,30/04/2024 19:14,30
SES0000274,U00026,2024-04-30T06:45:29Z,2024-04-30 06:48:41,192
SES0000275,U00026,30/04/2024 00:35,30/04/2024 00:41,
SES0000276,U00026,29/04/2024 15:08,2024-04-29 15:15:29,391
SES0000277,U00026,18/02/2024 15:39,2024-02-18T15:41:23Z,136
SES0000278,U00026,2024-04-02 16:04:32,02/04/2024 16:07,177
SES0000279,U00026,2024-03-17 21:06:38,17/03/2024 21:06,0
SES0000280,U00026,2024-04-04 20:40:07,04/04/2024 21:08,1677
SES0000281,U00026,2024-03-12 04:49:08,2024-03-12T04:55:20Z,372
SES0000282,U00026,2024-04-06T02:49:12Z,2024-04-06 02:51:15,123
SES0000283,U00026,2024-02-29T23:07:03Z,2024-02-29T23:09:24Z,141
SES0000284,U00026,2024-05-15T09:43:43Z,15/05/2024 09:45,104
SES0000285,U00026,26/04/2024 02:27,2024-04-26T02:30:23Z,150
SES0000286,U00026,2024-05-15 04:18:45,15/05/2024 04:21,189
SES0000287,U00026,16/02/2024 14:02,2024-02-16 14:04:20,107
SES0000288,U00026,12/04/2024 02:09,2024-04-12 02:11:49,123
SES0000289,U00026,2024-03-17T12:18:12Z,2024-03-17T12:18:35Z,23
SES0000290,U00026,2024-05-11T14:49:35Z,2024-05-11T14:51:29Z,114
SES0000291,U00026,2024-05-09 18:07:54,09/05/2024 18:10,158
SES0000292,U00026,2024-04-26 17:51:38,26/04/2024 18:08,1041
SES0000293,U00026,02/03/2024 23:02,2024-03-02T23:02:53Z,40
SES0000294,U00027,2024-06-13T18:51:49Z,2024-06-13T18:57:11Z,322
SES0000295,U00027,2024-06-13T08:06:20Z,2024-06-13 08:06:53,33
SES0000296,U00027,2024-06-14 17:37:27,14/06/2024 17:38,61
SES0000297,U00027,17/06/2024 17:01,2024-06-17T17:02:54Z,89
SES0000298,U00027,2024-06-17T19:30:32Z,2024-06-17 19:31:25,53
SES0000299,U00027,2024-06-15 17:54:15,2024-06-15T18:03:39Z,564
SES0000300,U00027,13/06/2024 03:06,2024-06-13 03:23:41,1045
SES0000301,U00027,2024-06-16T19:02:09Z,2024-06-16T19:21:11Z,1142
SES0000302,U00027,2024-06-18 07:34:02,2024-06-18T07:38:41Z,279
SES0000303,U00027,15/06/2024 02:41,2024-06-15T02:41:34Z,28
SES0000304,U00027,2024-06-23 10:02:57,2024-06-23T10:08:34Z,337
SES0000305,U00027,2024-06-28T15:27:39Z,2024-06-28T15:30:48Z,N/A
SES0000306,U00027,23/06/2024 13:19,2024-06-23 13:33:18,854
SES0000307,U00027,2024-06-28 00:59:57,28/06/2024 01:00,40
SES0000308,U00027,2024-06-17 16:05:51,17/06/2024 16:07,79
SES0000309,U00027,2024-06-28 19:48:12,28/06/2024 19:54,386
SES0000310,U00027,2024-06-19T21:15:19Z,2024-06-19T21:16:01Z,42
SES0000311,U00027,2024-06-26 14:22:34,26/06/2024 14:22,19
SES0000312,U00027,2024-06-18T23:28:27Z,2024-06-21T14:36:24Z,N/A
SES0000313,U00027,2024-06-28 15:48:12,2024-06-28T15:49:30Z,78
SES0000314,U00028,2023-09-15 01:14:17,2023-09-15 01:14:30,13
SES0000315,U00028,28/08/2023 18:47,2023-08-28 19:00:09,739
SES0000316,U00028,2023-08-20T04:23:25Z,2023-08-20 04:33:02,577
SES0000317,U00028,07/09/2023 18:07,2023-09-07 18:08:58,117
SES0000318,U00028,06/09/2023 13:28,06/09/2023 13:35,406
SES0000319,U00028,2023-09-04 14:20:17,2023-09-04T14:22:09Z,112
SES0000320,U00028,2023-09-11 21:02:37,2023-09-11 21:10:54,497
SES0000321,U00028,2023-09-03T04:14:42Z,2023-09-03 04:55:49,2467
SES0000322,U00028,21/08/2023 20:56,21/08/2023 20:59,179
SES0000323,U00028,2023-09-14T16:53:26Z,14/09/2023 16:55,135
SES0000324,U00030,2024-05-14 08:21:54,2024-05-14T08:27:28Z,334
SES0000325,U00030,2024-05-02T08:38:57Z,2024-05-02 08:39:58,61
SES0000326,U00030,12/05/2024 03:28,2024-05-12T03:30:08Z,126
SES0000327,U00030,2024-05-28T08:31:34Z,2024-05-28T08:32:48Z,74
SES0000328,U00030,2024-05-10 08:09:25,2024-05-10 08:19:46,621
SES0000329,U00030,2024-05-26 15:45:51,2024-05-26T15:46:49Z,58
SES0000330,U00030,2024-05-17 11:31:28,17/05/2024 11:35,252
SES0000331,U00030,02/05/2024 10:02,2024-05-02 10:10:23,457
SES0000332,U00030,2024-05-16T13:22:49Z,2024-05-16 13:24:45,116
SES0000333,U00030,2024-05-06T09:36:10Z,2024-05-06T09:42:04Z,354
SES0000334,U00030,2024-05-10T11:53:36Z,10/05/2024 11:59,369
SES0000335,U00030,2024-05-03 22:19:14,2024-05-03T22:19:56Z,42
SES0000336,U00030,2024-05-19T12:57:09Z,2024-05-19 12:59:13,N/A
SES0000337,U00030,2024-05-04T10:08:25Z,2024-05-04 10:12:38,253
SES0000338,U00030,2024-05-08T12:40:02Z,2024-05-08 12:40:02,0
SES0000339,U00030,2024-05-17 13:15:32,17/05/2024 13:17,105
SES0000340,U00030,2024-05-23 03:53:28,2024-05-23 04:02:06,518
SES0000341,U00030,29/05/2024 18:56,2024-05-29T18:57:55Z,76
SES0000342,U00030,09/05/2024 02:49,2024-05-09 03:12:30,1410
SES0000343,U00030,02/05/2024 14:28,2024-05-02 14:39:10,612
SES0000344,U00031,2024-03-25 18:38:38,25/03/2024 18:38,6
SES0000345,U00031,2024-04-02 14:52:21,02/04/2024 14:56,253
SES0000346,U00031,10/05/2024 08:48,10/05/2024 09:04,980
SES0000347,U00031,2024-05-05 12:45:42,05/05/2024 12:46,39
SES0000348,U00031,17/04/2024 04:03,2024-04-17T04:06:47Z,198
SES0000349,U00032,2023-01-30 23:26:57,2023-01-30T23:27:23Z,26
SES0000350,U00033,2023-08-08T05:35:01Z,2023-08-08T05:41:02Z,361
SES0000351,U00033,2023-03-03 02:27:28,2023-03-03T02:28:31Z,63
SES0000352,U00033,19/02/2023 16:40,2023-02-19 16:41:19,76
SES0000353,U00034,2023-04-13 20:17:24,13/04/2023 20:17,0
SES0000354,U00034,2023-04-17 11:25:52,17/04/2023 11:26,24
SES0000355,U00034,17/04/2023 03:08,2023-04-17 03:26:28,1060
SES0000356,U00034,2023-04-17 13:56:11,2023-04-17T14:06:56Z,645
SES0000357,U00034,15/04/2023 16:55,2023-04-15T17:01:30Z,358
SES0000358,U00035,12/02/2024 17:47,12/02/2024 17:48,86
SES0000359,U00035,21/04/2024 05:07,2024-04-21 05:08:02,48
SES0000360,U00035,2023-12-14 02:34:58,14/12/2023 02:35,31
SES0000361,U00035,06/11/2023 16:42,2023-11-06T17:02:21Z,1204
SES0000362,U00035,2023-10-15 22:34:21,2023-10-15 22:34:49,28
SES0000363,U00035,2024-05-06 09:43:23,2024-05-06T09:44:12Z,49
SES0000364,U00035,01/08/2023 06:28,2023-08-01T06:35:36Z,411
SES0000365,U00035,2024-03-14T03:51:02Z,2024-03-14T03:53:19Z,137
SES0000366,U00035,2024-04-20T08:48:57Z,20/04/2024 09:01,N/A
